date,nb_seismes,mag_max,mag_mean,mag_median,depth_mean,tsunami_sum,nb_zones,nb_seismes_clean,energy_sum,lag_1,lag_2,lag_3,lag_4,lag_8,lag_12,lag_52,energy_lag_1,energy_lag_2,energy_lag_4,zones_lag_1,zones_lag_2,rolling_mean_4,rolling_mean_8,rolling_mean_12,rolling_mean_26,rolling_std_4,rolling_std_8,rolling_std_12,rolling_max_4,rolling_max_8,energy_rolling_4,energy_rolling_8,week_of_year,month,quarter,year,week_sin,week_cos,month_sin,month_cos,energy_per_seisme,tsunami_ratio,mag_spread,delta_seismes,log_energy
2022-01-03,287,7.3,4.499651567944251,4.4,93.89124351793728,2,240,287.0,96358408773.0362,304.0,327.0,392.0,356.0,272.0,287.0,237.0,8827015594.17135,100972767331.3476,13043629226.162989,241.0,254.0,344.75,312.75,295.4166666666667,331.4230769230769,38.012059489939,44.914999085574614,46.186299293450816,392.0,392.0,34976123639.699394,45327393105.440865,1,1.0,1.0,2022.0,0.12053668025532305,0.992708874098054,0.4999999999999999,0.8660254037844387,334577808.239709,0.0069444444444444,2.800348432055749,-17.0,25.291340501211323
2022-01-10,284,6.6,4.590070422535211,4.5,93.49841549295776,1,212,284.0,19790789455.77426,287.0,304.0,327.0,392.0,314.0,278.0,248.0,96358408773.0362,8827015594.17135,17061082407.115604,240.0,241.0,327.5,314.625,295.4166666666667,332.0769230769231,46.01811237617924,43.253199716487,46.186299293450816,392.0,392.0,55804818526.417694,56631406487.43344,2,1.0,1.0,2022.0,0.23931566428755774,0.970941817426052,0.4999999999999999,0.8660254037844387,69441366.51148863,0.0035087719298245,2.0099295774647885,-3.0,23.708482487466814
2022-01-17,374,6.8,4.5179144385026735,4.4,69.02719251336897,6,316,374.0,46418306156.30677,284.0,287.0,304.0,327.0,261.0,229.0,303.0,19790789455.77426,96358408773.0362,100972767331.3476,212.0,240.0,300.5,310.875,295.9166666666667,331.1923076923077,19.73997635932377,44.59480270806738,46.01276173437338,327.0,392.0,56487245288.58236,56299117490.21111,3,1.0,1.0,2022.0,0.3546048870425356,0.9350162426854148,0.4999999999999999,0.8660254037844387,123782149.75015138,0.016,2.2820855614973263,90.0,24.56095974762472
2022-01-24,361,6.3,4.523296398891967,4.5,82.68373961218836,3,289,361.0,10815428973.361322,374.0,284.0,287.0,304.0,276.0,249.0,294.0,46418306156.30677,19790789455.77426,8827015594.17135,316.0,212.0,312.25,325.0,308.0,334.7692307692308,42.09809971958347,44.43615001967944,45.881269697893984,374.0,392.0,42848629994.82215,61321493087.36936,4,1.0,1.0,2022.0,0.4647231720437685,0.8854560256532099,0.4999999999999999,0.8660254037844387,29876875.617020227,0.0082872928176795,1.776703601108033,-13.0,23.104239560323137
2022-01-31,341,6.5,4.558005865102639,4.5,71.4134017595308,2,239,341.0,15491785577.933386,361.0,374.0,284.0,287.0,356.0,272.0,243.0,10815428973.361322,46418306156.30677,96358408773.0362,289.0,316.0,326.5,335.625,317.3333333333333,337.4230769230769,47.65501022977536,41.08158259575037,44.1471369056893,374.0,392.0,43345733339.619644,39160928489.659515,5,1.0,1.0,2022.0,0.5680647467311558,0.8229838658936564,0.4999999999999999,0.8660254037844387,45297618.64892803,0.0058479532163742,1.941994134897361,-20.0,23.463575757742312
2022-02-07,331,6.5,4.540332326283988,4.5,83.16238670694864,3,240,331.0,14332508462.941095,341.0,361.0,374.0,284.0,392.0,314.0,272.0,15491785577.933386,10815428973.361322,19790789455.77426,239.0,289.0,340.0,333.75,323.0833333333333,338.1923076923077,39.72404813208233,40.354677547962524,42.15438795952803,374.0,392.0,23129077540.84394,39466948033.63081,6,2.0,1.0,2022.0,0.6631226582407952,0.7485107481711011,0.8660254037844386,0.5000000000000001,43170206.213677995,0.0090361445783132,1.9596676737160124,-10.0,23.38579611328849
2022-02-14,329,6.2,4.523343465045593,4.5,68.81178409657447,0,245,329.0,7878619603.98082,331.0,341.0,361.0,374.0,327.0,261.0,568.0,14332508462.941095,15491785577.933386,46418306156.30677,240.0,239.0,351.75,326.125,324.5,337.7692307692308,19.37997248020046,32.83916433598368,42.107006542854336,374.0,374.0,21764507292.63565,39125876290.609,7,2.0,1.0,2022.0,0.7485107481711011,0.6631226582407953,0.8660254037844386,0.5000000000000001,23874604.860547937,0.0,1.6766565349544074,-2.0,22.78741854843802
2022-02-21,296,6.8,4.539527027027027,4.45,81.43652027027026,4,247,296.0,25505557272.747524,329.0,331.0,341.0,361.0,304.0,276.0,342.0,7878619603.98082,14332508462.941095,10815428973.361322,245.0,240.0,340.5,326.375,330.1666666666667,317.4230769230769,14.640127503998283,32.85438653035151,37.057285710672375,361.0,374.0,12129585654.554163,27489107824.688152,8,2.0,1.0,2022.0,0.8229838658936564,0.5680647467311559,0.8660254037844386,0.5000000000000001,85877297.21463813,0.0134680134680134,2.2604729729729724,-33.0,23.96216219767082
2022-02-28,304,6.1,4.512828947368422,4.5,87.03723684210526,1,246,304.0,7365755917.622583,296.0,329.0,331.0,341.0,287.0,356.0,268.0,25505557272.747524,7878619603.98082,15491785577.933386,247.0,245.0,324.25,325.375,331.8333333333333,311.3076923076923,19.551214796017,33.74245947509754,34.77939132023503,341.0,374.0,15802117729.400715,29573925534.51017,9,2.0,1.0,2022.0,0.8854560256532099,0.4647231720437686,0.8660254037844386,0.5000000000000001,24150019.402041256,0.0032786885245901,1.5871710526315779,8.0,22.720107518202862
2022-03-07,315,6.6,4.542507936507937,4.4,80.95764116753334,3,243,315.0,16069109861.952135,304.0,296.0,329.0,331.0,284.0,392.0,927.0,7365755917.622583,25505557272.747524,14332508462.941095,246.0,247.0,315.0,327.5,327.5,308.5,17.644640357154564,31.437011853637475,34.73405454959907,331.0,374.0,13770610314.323013,18449843927.58347,10,3.0,1.0,2022.0,0.9350162426854148,0.35460488704253557,1.0,6.123233995736766e-17,50851613.4871903,0.0094936708860759,2.057492063492063,11.0,23.500164623932815
2022-03-14,304,6.7,4.4770394736842105,4.4,95.56184210526315,3,259,304.0,18498689997.09231,315.0,304.0,296.0,329.0,374.0,327.0,422.0,16069109861.952135,7365755917.622583,7878619603.98082,243.0,246.0,311.0,331.375,321.0833333333333,307.2307692307692,14.30617582258309,26.890983619050267,28.240713142338603,329.0,374.0,14204760664.075775,17984633978.355705,11,3.0,1.0,2022.0,0.970941817426052,0.23931566428755804,1.0,6.123233995736766e-17,60651442.61341742,0.0098360655737704,2.2229605263157897,-11.0,23.64096575560955
2022-03-21,437,7.3,4.516384439359268,4.5,74.27768878718535,2,316,437.0,100574573373.3834,304.0,315.0,304.0,296.0,361.0,304.0,369.0,18498689997.09231,16069109861.952135,25505557272.747524,259.0,243.0,304.75,322.625,319.1666666666667,305.5769230769231,7.804912982645028,21.980104640333895,28.581091439599803,315.0,361.0,16859778262.353647,14494681958.4539,12,3.0,1.0,2022.0,0.992708874098054,0.120536680255323,1.0,6.123233995736766e-17,229622313.63786167,0.0045662100456621,2.7836155606407322,133.0,25.334165312907828
2022-03-28,336,6.7,4.533035714285714,4.5,79.45216443743155,4,278,336.0,29843532367.17865,437.0,304.0,315.0,304.0,341.0,287.0,280.0,100574573373.3834,18498689997.09231,7365755917.622583,316.0,259.0,340.0,332.125,330.25,311.2307692307692,64.87423731086679,45.148762045993514,43.86575595444042,437.0,437.0,35627032287.51262,25714575008.456657,13,3.0,1.0,2022.0,1.0,-1.6081226496766366e-16,1.0,6.123233995736766e-17,88556475.86699896,0.0118694362017804,2.166964285714286,-101.0,24.11923398222566
2022-04-04,367,7.0,4.558773841961853,4.5,58.17757493188012,3,272,367.0,65540282982.22225,336.0,437.0,304.0,315.0,331.0,284.0,259.0,29843532367.17865,100574573373.3834,16069109861.952135,278.0,316.0,348.0,331.5,334.3333333333333,312.0769230769231,60.80021929785008,45.04283675410745,41.70095558820778,437.0,437.0,41246476399.90163,27508543357.112316,14,4.0,2.0,2022.0,0.992708874098054,-0.12053668025532288,0.8660254037844387,-0.4999999999999998,178098595.06038657,0.0081521739130434,2.4412261580381474,31.0,24.90593079792552
2022-04-11,330,6.3,4.5036969696969695,4.4,80.35487878787879,1,264,330.0,8662456668.902695,367.0,336.0,437.0,304.0,329.0,374.0,320.0,65540282982.22225,29843532367.17865,18498689997.09231,272.0,278.0,361.0,336.0,341.25,315.8076923076923,56.821357487010644,46.75162334843911,39.41417603765496,437.0,437.0,53614269679.96916,33909515172.02246,15,4.0,2.0,2022.0,0.9709418174260521,-0.2393156642875575,0.8660254037844387,-0.4999999999999998,26170563.954388805,0.0030211480362537,1.7963030303030303,-37.0,22.882264199418486
2022-04-18,302,6.1,4.496986754966887,4.4,85.22016556291392,1,252,302.0,6431715320.3672285,330.0,367.0,336.0,437.0,296.0,361.0,286.0,8662456668.902695,65540282982.22225,100574573373.3834,264.0,272.0,367.5,336.125,337.5833333333333,317.46153846153845,49.08835571361767,46.7315662664362,38.11575272850567,437.0,437.0,51155211347.92176,34007494805.13769,16,4.0,2.0,2022.0,0.9350162426854148,-0.35460488704253545,0.8660254037844387,-0.4999999999999998,21226783.23553541,0.0033003300330033,1.6030132450331127,-28.0,22.584507108105903
2022-04-25,348,6.6,4.517586206896551,4.4,72.54683908045976,4,279,348.0,17318978404.295727,302.0,330.0,367.0,336.0,304.0,341.0,281.0,6431715320.3672285,8662456668.902695,29843532367.17865,252.0,264.0,333.75,336.875,332.6666666666667,318.38461538461536,26.663020584072243,46.03860957314635,38.62249305387924,367.0,437.0,27619496834.66771,31623264561.090157,17,4.0,2.0,2022.0,0.8854560256532099,-0.4647231720437685,0.8660254037844387,-0.4999999999999998,49624579.955002084,0.0114613180515759,2.0824137931034485,46.0,23.57506875481314
2022-05-02,257,6.1,4.462801556420233,4.4,97.2849593795603,1,202,257.0,4713632721.418772,348.0,302.0,330.0,367.0,315.0,331.0,324.0,17318978404.295727,6431715320.3672285,65540282982.22225,279.0,252.0,336.75,342.375,333.25,322.96153846153845,27.657126869338036,44.13918731855957,38.81219349168949,367.0,437.0,24488358343.94698,32867417371.9243,18,5.0,2.0,2022.0,0.8229838658936565,-0.5680647467311557,0.4999999999999999,-0.8660254037844387,18269894.269065008,0.003875968992248,1.6371984435797664,-91.0,22.273724726337388
2022-05-09,281,6.3,4.539857651245552,4.5,79.78978647686833,1,252,281.0,10564918709.7706,257.0,348.0,302.0,330.0,304.0,329.0,245.0,4713632721.418772,17318978404.295727,8662456668.902695,202.0,279.0,309.25,335.125,327.0833333333333,323.2692307692308,39.64320034171469,53.12636552866896,44.64294372285954,348.0,437.0,9281695778.746109,31447982729.357628,19,5.0,2.0,2022.0,0.7485107481711013,-0.663122658240795,0.4999999999999999,-0.8660254037844387,37464250.743867375,0.0035460992907801,1.7601423487544476,24.0,23.080804793784225
2022-05-16,261,6.8,4.47632183908046,4.4,102.04318007662836,1,213,261.0,19853502671.530537,281.0,257.0,348.0,302.0,437.0,296.0,270.0,10564918709.7706,4713632721.418772,6431715320.3672285,252.0,202.0,297.0,332.25,323.0833333333333,323.61538461538464,38.65229618017529,55.61538841518109,46.56463412843627,348.0,437.0,9757311288.963085,30456261318.442413,20,5.0,2.0,2022.0,0.6631226582407952,-0.7485107481711012,0.4999999999999999,-0.8660254037844387,75776727.75393334,0.0038167938931297,2.32367816091954,-20.0,23.71164628556733
2022-05-23,281,6.9,4.5514946619217085,4.4,104.28110320284696,2,216,281.0,34280264032.086246,261.0,281.0,257.0,348.0,336.0,304.0,386.0,19853502671.530537,10564918709.7706,17318978404.295727,213.0,252.0,286.75,310.25,320.1666666666667,321.5769230769231,42.16139624506436,41.20246178498176,49.42364787929913,348.0,367.0,13112758126.753914,20366127480.710808,21,5.0,2.0,2022.0,0.5680647467311558,-0.8229838658936564,0.4999999999999999,-0.8660254037844387,121561219.97193705,0.0070921985815602,2.348505338078292,20.0,24.257835632895052
2022-05-30,242,7.2,4.482561983471074,4.4,94.9280123966942,2,195,242.0,78096302750.51848,281.0,261.0,281.0,257.0,367.0,315.0,321.0,34280264032.086246,19853502671.530537,4713632721.418772,216.0,213.0,270.0,303.375,318.25,322.34615384615387,12.806248474865432,40.87939578809871,50.54093750254681,281.0,367.0,17353079533.70154,20920718938.824257,22,5.0,2.0,2022.0,0.46472317204376906,-0.8854560256532096,0.4999999999999999,-0.8660254037844387,321383961.93629,0.0082304526748971,2.7174380165289262,-39.0,25.08120855274214
